Transcript,Gene,GeneID,Cytoband,CopyNo,MappedReads,MappedLength,TranscriptLength,PrcntTranscriptCoverage,TotalMappedReads,TotalMappedLength
NM_001030055.1,ARHGAP5,394,14q12,1,93,2295,9604,23.9,305394,7162405
NM_000989.2,RPL30,6156,8q22,4.8,93,455,509,89.39,305394,7162405
NM_001122837.1,RAG1AP1,55974,1q22,6.4,93,342,1223,27.96,305394,7162405
NM_001012516.1,ITM2C,81618,2q37,12.1,93,181,1966,9.21,305394,7162405
NM_001012514.1,ITM2C,81618,2q37,12.1,93,181,1936,9.35,305394,7162405
NM_001173.2,ARHGAP5,394,14q12,1,93,2295,9601,23.9,305394,7162405
NM_018845.3,RAG1AP1,55974,1q22,6.4,93,342,1347,25.39,305394,7162405
NM_001122839.1,RAG1AP1,55974,1q22,6.4,93,342,1185,28.86,305394,7162405
NM_032870.2,SFRS18,25957,6q16.3,1.3,93,1668,3222,51.77,305394,7162405
NM_030926.4,ITM2C,81618,2q37,12.1,93,181,2077,8.71,305394,7162405
NM_001065.3,TNFRSF1A,7132,12p13.2,10.1,93,216,2230,9.69,305394,7162405
NM_001080414.2,CCDC88C,440193,14q32.11,6.2,93,354,7491,4.73,305394,7162405
NM_001164753.1,ASPH,444,8q12.1,8.6,92,251,3500,7.17,305394,7162405
NM_001164754.1,ASPH,444,8q12.1,8.6,92,251,3722,6.74,305394,7162405
NM_032468.4,ASPH,444,8q12.1,8.6,92,251,3629,6.92,305394,7162405
NM_001077710.2,FAM110C,642273,2p25.3,0.9,92,2342,3963,59.1,305394,7162405
NM_032466.3,ASPH,444,8q12.1,8.6,92,251,3779,6.64,305394,7162405
NM_001164755.1,ASPH,444,8q12.1,8.6,92,251,3650,6.88,305394,7162405
NM_021227.2,OSTC,58505,4q25,3.9,92,547,1103,49.59,305394,7162405
NM_001164751.1,ASPH,444,8q12.1,8.6,92,251,3626,6.92,305394,7162405
NM_001164752.1,ASPH,444,8q12.1,8.6,92,251,3569,7.03,305394,7162405
NM_005717.2,ARPC5,10092,1q25.3,2.3,92,922,1985,46.45,305394,7162405
NM_001164161.1,PPP6R3,55291,11q13,1.3,91,1702,5108,33.32,305394,7162405
NM_000995.3,RPL34,6164,4q25,5.1,91,417,905,46.08,305394,7162405
NM_173822.3,FAM126B,285172,2q33.1,0.3,91,6530,9337,69.94,305394,7162405
NM_001113201.1,NACA,4666,12q23-q24.1,3.4,91,623,1112,56.03,305394,7162405
NM_001164160.1,PPP6R3,55291,11q13,1.3,91,1702,5126,33.2,305394,7162405
NM_001113202.1,NACA,4666,12q23-q24.1,3.4,91,623,1045,59.62,305394,7162405
NM_005594.4,NACA,4666,12q23-q24.1,3.4,91,623,1086,57.37,305394,7162405
NM_001164162.1,PPP6R3,55291,11q13,1.3,91,1702,5090,33.44,305394,7162405
NM_001164163.1,PPP6R3,55291,11q13,1.3,91,1702,5021,33.9,305394,7162405
NM_001113203.1,NACA,4666,12q23-q24.1,3.4,91,623,6634,9.39,305394,7162405
NM_001781.2,CD69,969,12p13,5.9,91,362,1676,21.6,305394,7162405
NM_018312.4,PPP6R3,55291,11q13,1.3,91,1702,4973,34.22,305394,7162405
NM_012323.3,MAFF,23764,22q13.1,4.5,90,474,2442,19.41,305394,7162405
NM_002268.3,KPNA4,3840,3q25.33,2.3,90,930,3805,24.44,305394,7162405
NM_001161574.1,MAFF,23764,22q13.1,4.5,90,474,2375,19.96,305394,7162405
NM_182666.1,UBE2E1,7324,3p24.2,4.2,90,501,1419,35.31,305394,7162405
NM_002273.3,KRT8,3856,12q13,2.7,90,792,1802,43.95,305394,7162405
NM_001161572.1,MAFF,23764,22q13.1,4.5,90,474,2468,19.21,305394,7162405
NM_016531.5,KLF3,51274,4p14,0.5,90,4447,5619,79.14,305394,7162405
NM_003341.3,UBE2E1,7324,3p24.2,4.2,90,501,1470,34.08,305394,7162405
NM_000999.3,RPL38,6169,17q25.1,6.5,90,325,395,82.28,305394,7162405
NM_033625.2,RPL34,6164,4q25,5.3,90,402,990,40.61,305394,7162405
NM_001161573.1,MAFF,23764,22q13.1,4.5,90,474,2226,21.29,305394,7162405
NM_001964.2,EGR1,1958,5q31.1,2.8,90,742,3136,23.66,305394,7162405
NM_004786.2,TXNL1,9352,18q21.31,2.9,89,732,1329,55.08,305394,7162405
NM_032802.3,SPPL2A,84888,15q21.2,2.4,89,854,2010,42.49,305394,7162405
NM_018339.5,RFK,55312,9q21.13,1.5,89,1430,2707,52.83,305394,7162405
NM_005722.3,ACTR2,10097,2p14,1.2,89,1670,3922,42.58,305394,7162405
NM_002228.3,JUN,3725,1p32-p31,1.5,89,1417,3326,42.6,305394,7162405
NM_003618.2,MAP4K3,8491,2p22.1,0.7,89,2995,4117,72.75,305394,7162405
NM_000314.4,PTEN,5728,10q23.3,0.7,89,2824,5550,50.88,305394,7162405
NM_006813.2,PNRC1,10957,6q15,4.8,89,433,2133,20.3,305394,7162405
NM_001005386.2,ACTR2,10097,2p14,1.2,89,1670,3937,42.42,305394,7162405
NM_021970.3,MAPKSP1,8649,4q23,0.6,89,3686,4280,86.12,305394,7162405
NM_001153.3,ANXA4,307,2p13,1.4,88,1459,2145,68.02,305394,7162405
NM_002822.3,TWF1,5756,12q12,1.2,88,1780,3048,58.4,305394,7162405
NM_016433.3,GLTP,51228,12q24.11,1.6,88,1259,2360,53.35,305394,7162405
NM_005245.3,FAT1,2195,4q35,3,88,683,14773,4.62,305394,7162405
NM_001128301.1,LYRM1,57149,16p11.2,5.1,88,401,1631,24.59,305394,7162405
NM_007001.2,SLC35D2,11046,9q22.32,2.7,88,762,1630,46.75,305394,7162405
NM_001128302.1,LYRM1,57149,16p11.2,5.1,88,401,1399,28.66,305394,7162405
NM_020424.3,LYRM1,57149,16p11.2,5.1,88,401,1563,25.66,305394,7162405
NM_004892.4,SEC22B,9554,1q21.1,3.2,87,629,1821,34.54,305394,7162405
NM_014302.3,SEC61G,23480,7p11.2,5.8,87,353,470,75.11,305394,7162405
NM_005000.2,NDUFA5,4698,7q32,1.5,87,1372,1550,88.52,305394,7162405
NM_001035258.1,RPL38,6169,17q25.1,7.8,87,263,360,73.06,305394,7162405
NM_001178122.1,ABI1,10006,10p11.2,1.3,86,1582,3467,45.63,305394,7162405
NM_001178119.1,ABI1,10006,10p11.2,1.3,86,1582,3641,43.45,305394,7162405
NM_001195799.1,LDLR,3949,19p13.3,0.4,86,4746,5163,91.92,305394,7162405
NM_004985.3,KRAS,3845,12p12.1,0.4,86,4707,5302,88.78,305394,7162405
NM_001142931.1,API5,8539,11p11.2,3,86,671,3606,18.61,305394,7162405
NM_001178125.1,ABI1,10006,10p11.2,1.3,86,1582,3188,49.62,305394,7162405
NM_001012750.2,ABI1,10006,10p11.2,1.3,86,1582,3644,43.41,305394,7162405
NM_014043.3,CHMP2B,25978,3p11.2,0.9,86,2252,2632,85.56,305394,7162405
NM_005470.3,ABI1,10006,10p11.2,1.3,86,1582,3725,42.47,305394,7162405
NM_001178123.1,ABI1,10006,10p11.2,1.3,86,1582,3380,46.8,305394,7162405
NM_001195798.1,LDLR,3949,19p13.3,0.4,86,4740,5280,89.77,305394,7162405
NM_024665.4,TBL1XR1,79718,3q26.32,0.5,86,3883,6550,59.28,305394,7162405
NM_001178121.1,ABI1,10006,10p11.2,1.3,86,1582,3539,44.7,305394,7162405
NM_033360.2,KRAS,3845,12p12.1,0.4,86,4831,5426,89.03,305394,7162405
NM_000527.4,LDLR,3949,19p13.3,0.4,86,4746,5286,89.78,305394,7162405
NM_003290.2,TPM4,7171,19p13.1,1.1,86,1785,2645,67.49,305394,7162405
NM_138929.3,DIABLO,56616,12q24.31,6.5,86,312,2116,14.74,305394,7162405
NM_002483.4,CEACAM6,4680,19q13.2,1,86,1967,2631,74.76,305394,7162405
NM_001012751.2,ABI1,10006,10p11.2,1.3,86,1582,3557,44.48,305394,7162405
NM_001012752.2,ABI1,10006,10p11.2,1.3,86,1582,3629,43.59,305394,7162405
NM_001178120.1,ABI1,10006,10p11.2,1.3,86,1582,3554,44.51,305394,7162405
NM_006595.3,API5,8539,11p11.2,3,86,671,3768,17.81,305394,7162405
NM_001142930.1,API5,8539,11p11.2,3,86,671,3773,17.78,305394,7162405
NM_001145160.1,TPM4,7171,19p13.1,1.1,86,1785,2630,67.87,305394,7162405
NM_001178124.1,ABI1,10006,10p11.2,1.3,86,1582,3365,47.01,305394,7162405
NM_004374.3,COX6C,1345,8q22.2,5.2,86,387,921,42.02,305394,7162405
NM_001178116.1,ABI1,10006,10p11.2,1.3,86,1582,3689,42.88,305394,7162405
NM_019887.4,DIABLO,56616,12q24.31,6.5,86,312,2248,13.88,305394,7162405
NM_001146284.1,TCF7L2,6934,10q25.3,1.7,85,1176,3919,30.01,305394,7162405
NM_001146274.1,TCF7L2,6934,10q25.3,1.7,85,1176,4022,29.24,305394,7162405
NM_022079.2,HERC4,26091,10q21.3,0.8,85,2511,4521,55.54,305394,7162405
NM_001136219.1,FCGR2A,2212,1q23,2.4,85,839,2429,34.54,305394,7162405
NM_001146285.1,TCF7L2,6934,10q25.3,1.7,85,1176,3953,29.75,305394,7162405
NM_001307.5,CLDN7,1366,17p13,3.5,85,563,2013,27.97,305394,7162405
NM_001195800.1,LDLR,3949,19p13.3,1.6,85,1251,4782,26.16,305394,7162405
NM_001195803.1,LDLR,3949,19p13.3,1.6,85,1251,4752,26.33,305394,7162405
NM_015601.3,HERC4,26091,10q21.3,0.8,85,2487,4497,55.3,305394,7162405
NM_001195802.1,LDLR,3949,19p13.3,1.6,85,1251,4923,25.41,305394,7162405
NM_001146286.1,TCF7L2,6934,10q25.3,1.7,85,1176,3880,30.31,305394,7162405
NM_030756.4,TCF7L2,6934,10q25.3,1.7,85,1176,4004,29.37,305394,7162405
NM_001185022.1,CLDN7,1366,17p13,3.5,85,563,1446,38.93,305394,7162405
NM_001185023.1,CLDN7,1366,17p13,3.5,85,563,1928,29.2,305394,7162405
NM_001146283.1,TCF7L2,6934,10q25.3,1.7,85,1176,4021,29.25,305394,7162405
NM_021642.3,FCGR2A,2212,1q23,2.4,85,839,2426,34.58,305394,7162405
NM_130798.1,SNAP23,8773,15q14,2.3,85,884,2148,41.15,305394,7162405
NM_006135.2,CAPZA1,829,1p13.2,1.7,85,1141,2745,41.57,305394,7162405
NM_003825.2,SNAP23,8773,15q14,2.3,85,884,2307,38.32,305394,7162405
NM_001130691.1,PPP3CA,5530,4q24,2.5,84,803,4646,17.28,305394,7162405
NM_031469.2,SH3BGRL2,83699,6q14.1,0.5,84,3760,4652,80.83,305394,7162405
NM_000944.4,PPP3CA,5530,4q24,2.5,84,803,4676,17.17,305394,7162405
NM_020792.4,NCEH1,57552,3q26.31,4.8,84,408,4294,9.5,305394,7162405
NM_001146277.1,NCEH1,57552,3q26.31,4.8,84,408,4284,9.52,305394,7162405
NM_001130692.1,PPP3CA,5530,4q24,2.5,84,803,4520,17.77,305394,7162405
NM_017761.3,PNRC2,55629,1p36.11,4.2,84,472,2417,19.53,305394,7162405
NM_001146278.1,NCEH1,57552,3q26.31,4.8,84,408,4065,10.04,305394,7162405
NM_032312.3,YIPF4,84272,2p22.3,1.6,84,1227,1969,62.32,305394,7162405
NM_001146276.1,NCEH1,57552,3q26.31,4.8,84,408,4318,9.45,305394,7162405
NM_012250.5,RRAS2,22800,11p15.2,1.7,83,1147,2350,48.81,305394,7162405
NM_203391.2,GK,2710,Xp21.3,1.3,83,1505,3638,41.37,305394,7162405
NM_001042604.1,XRN1,54464,3q23,0.2,83,8821,10053,87.74,305394,7162405
NM_019001.3,XRN1,54464,3q23,0.2,83,8860,10092,87.79,305394,7162405
NM_003373.3,VCL,7414,10q22.2,4.2,83,460,5285,8.7,305394,7162405
NM_001017368.1,RFFL,117584,17q12,1.4,83,1369,4126,33.18,305394,7162405
NM_003128.2,SPTBN1,6711,2p21,4.6,83,422,10225,4.13,305394,7162405
NM_001128127.1,GK,2710,Xp21.3,1.3,83,1505,3707,40.6,305394,7162405
NM_001177315.1,RRAS2,22800,11p15.2,1.7,83,1147,2176,52.71,305394,7162405
NM_001102669.2,RRAS2,22800,11p15.2,1.7,83,1147,2199,52.16,305394,7162405
NM_001004128.2,QSOX1,5768,1q24,10.2,83,190,2583,7.36,305394,7162405
NM_000167.4,GK,2710,Xp21.3,1.3,83,1505,3620,41.57,305394,7162405
NM_057178.3,RFFL,117584,17q12,1.4,83,1369,4132,33.13,305394,7162405
NM_001080412.2,ZBTB38,253461,3q23,3.5,83,563,8387,6.71,305394,7162405
NM_002826.4,QSOX1,5768,1q24,10.2,83,190,3316,5.73,305394,7162405
NM_014000.2,VCL,7414,10q22.2,4.2,83,460,5489,8.38,305394,7162405
NM_019080.2,NDFIP2,54602,13q31.1,0.9,83,2126,4658,45.64,305394,7162405
NM_001177314.1,RRAS2,22800,11p15.2,1.7,83,1147,2044,56.12,305394,7162405
NM_001161407.1,NDFIP2,54602,13q31.1,0.9,83,2066,4598,44.93,305394,7162405
NM_001012456.1,SEC61G,23480,7p11.2,6.5,82,294,466,63.09,305394,7162405
NM_001172713.1,GOLGA4,2803,3p22-p21.3,0.3,82,6501,7868,82.63,305394,7162405
NM_018462.4,C3orf10,55845,3p25.3,2.5,82,756,1180,64.07,305394,7162405
NM_002078.4,GOLGA4,2803,3p22-p21.3,0.3,82,6585,7886,83.5,305394,7162405
NM_021255.2,PELI2,57161,14q21,0.7,82,2914,5700,51.12,305394,7162405
NM_005495.2,SLC17A4,10050,6p22-p21.3,0.6,82,3348,3600,93,305394,7162405
NM_001145443.1,PFKFB3,5209,10p15.1,7.7,81,246,4224,5.82,305394,7162405
NM_030922.6,NIPA2,81614,15q11.2,3.2,81,587,3252,18.05,305394,7162405
NM_005022.2,PFN1,5216,17p13.3,5.4,81,355,810,43.83,305394,7162405
NM_004508.2,IDI1,3422,10p15.3,1.2,81,1584,2139,74.05,305394,7162405
NM_016304.2,RSL24D1,51187,15q21,1.5,81,1310,1476,88.75,305394,7162405
NM_001008894.2,NIPA2,81614,15q11.2,3.2,81,587,2937,19.99,305394,7162405
NM_016472.3,C14orf129,51527,14q32.2,3.1,81,621,2070,30,305394,7162405
NM_001184889.1,NIPA2,81614,15q11.2,3.2,81,587,3477,16.88,305394,7162405
NM_004566.3,PFKFB3,5209,10p15.1,7.7,81,246,4553,5.4,305394,7162405
NM_001008860.2,NIPA2,81614,15q11.2,3.2,81,587,3130,18.75,305394,7162405
NM_001186.2,BACH1,571,21q22.11,0.4,81,5242,5642,92.91,305394,7162405
NM_001008892.2,NIPA2,81614,15q11.2,3.2,81,587,2994,19.61,305394,7162405
NM_001184888.1,NIPA2,81614,15q11.2,3.2,81,587,3085,19.03,305394,7162405
NM_001200.2,BMP2,650,20p12,1,81,1869,3150,59.33,305394,7162405
NM_206866.1,BACH1,571,21q22.11,0.4,81,5242,5770,90.85,305394,7162405
NM_003842.4,TNFRSF10B,8795,8p22-p21,5,80,373,4154,8.98,305394,7162405
NM_174909.4,TMEM167A,153339,5q14.2,0.5,80,3452,4590,75.21,305394,7162405
NM_147187.2,TNFRSF10B,8795,8p22-p21,5,80,373,4067,9.17,305394,7162405
NM_004177.4,STX3,6809,11q12.1,0.3,79,5896,6479,91,305394,7162405
NM_002618.3,PEX13,5194,2p16.1,0.9,79,2127,4524,47.02,305394,7162405
NM_001127663.1,GSN,2934,9q33,5.6,79,332,2772,11.98,305394,7162405
NM_007362.3,NCBP2,22916,3q29,3,79,614,2175,28.23,305394,7162405
NM_001127664.1,GSN,2934,9q33,5.6,79,332,2739,12.12,305394,7162405
NM_001178040.1,STX3,6809,11q12.1,0.3,79,5782,6365,90.84,305394,7162405
NM_001039457.1,ATP6V0B,533,1p32.3,4.7,79,398,979,40.65,305394,7162405
NM_003133.5,SRP9,6726,1q42.12,1.6,79,1177,1500,78.47,305394,7162405
NM_001127666.1,GSN,2934,9q33,5.6,79,332,2731,12.16,305394,7162405
NM_001130440.1,SRP9,6726,1q42.12,1.6,79,1177,1624,72.48,305394,7162405
NM_000177.4,GSN,2934,9q33,5.6,79,332,2654,12.51,305394,7162405
NM_001042540.1,NCBP2,22916,3q29,3,79,614,2016,30.46,305394,7162405
NM_001127662.1,GSN,2934,9q33,5.6,79,332,2567,12.93,305394,7162405
NM_001127667.1,GSN,2934,9q33,5.6,79,332,2722,12.2,305394,7162405
NM_138340.4,ABHD3,171586,18q11.2,1.8,79,1017,2069,49.15,305394,7162405
NM_198252.2,GSN,2934,9q33,5.6,79,332,2660,12.48,305394,7162405
NM_017665.1,ZCCHC10,54819,5q31.1,1.4,79,1288,2124,60.64,305394,7162405
NM_004047.3,ATP6V0B,533,1p32.3,4.7,79,398,1028,38.72,305394,7162405
NM_001127665.1,GSN,2934,9q33,5.6,79,332,2734,12.14,305394,7162405
NM_020870.3,SH3RF1,57630,4q32.3,0.4,78,4371,5265,83.02,305394,7162405
NM_018453.3,EAPP,55837,14q13.1,2.2,78,839,1352,62.06,305394,7162405
NM_021239.2,RBM25,58517,14q24.3,0.7,78,2764,4303,64.23,305394,7162405
NM_018442.2,DCAF6,55827,1q24.2,5.5,78,334,3296,10.13,305394,7162405
NM_006714.3,SMPDL3A,10924,6q22.31,2.3,78,806,2197,36.69,305394,7162405
NM_001017977.1,DCAF6,55827,1q24.2,5.5,78,334,3236,10.32,305394,7162405
NM_005073.3,SLC15A1,6564,13q33-q34,2.5,78,741,3130,23.67,305394,7162405
NM_004869.3,VPS4B,9525,18q21.33,1.6,78,1128,3381,33.36,305394,7162405
NM_001164319.1,FLNB,2317,3p14.3,2.5,77,714,9395,7.6,305394,7162405
NM_182729.1,TXNRD1,7296,12q23-q24.1,0.7,77,2714,3674,73.87,305394,7162405
NM_182742.1,TXNRD1,7296,12q23-q24.1,0.7,77,2714,3801,71.4,305394,7162405
NM_032440.3,LCOR,84458,10q24,0.2,77,8039,10390,77.37,305394,7162405
NM_005252.3,FOS,2353,14q24.3,3.3,77,549,2158,25.44,305394,7162405
NM_182743.1,TXNRD1,7296,12q23-q24.1,0.7,77,2714,3564,76.15,305394,7162405
NM_001039712.1,DEDD,9191,1q23.3,2.2,77,806,2300,35.04,305394,7162405
NM_001174156.1,SAMD8,142891,10q22.2,0.6,77,2851,6782,42.04,305394,7162405
NM_001093771.1,TXNRD1,7296,12q23-q24.1,0.7,77,2714,3839,70.7,305394,7162405
NM_001170765.1,LCOR,84458,10q24,0.2,77,8039,10370,77.52,305394,7162405
NM_001039711.1,DEDD,9191,1q23.3,2.2,77,806,2329,34.61,305394,7162405
NM_004235.4,KLF4,9314,9q31,2.4,77,754,2936,25.68,305394,7162405
NM_003330.2,TXNRD1,7296,12q23-q24.1,0.7,77,2714,3911,69.39,305394,7162405
NM_003374.2,VDAC1,7416,5q31,4.4,77,411,1993,20.62,305394,7162405
NM_032998.2,DEDD,9191,1q23.3,2.2,77,806,2362,34.12,305394,7162405
NM_001457.3,FLNB,2317,3p14.3,2.5,77,714,9467,7.54,305394,7162405
NM_001164318.1,FLNB,2317,3p14.3,2.5,77,714,9434,7.57,305394,7162405
NM_001164317.1,FLNB,2317,3p14.3,2.5,77,714,9560,7.47,305394,7162405
NM_007269.2,STXBP3,6814,1p13.3,2.4,77,754,2507,30.08,305394,7162405
NM_144660.2,SAMD8,142891,10q22.2,0.6,77,2851,7009,40.68,305394,7162405
NM_001042601.2,TTC14,151613,3q26.33,3.7,76,476,4791,9.94,305394,7162405
NM_152398.2,OCIAD2,132299,4p11,4.6,76,386,649,59.48,305394,7162405
NM_133335.3,WHSC1,7468,4p16.3,0.7,76,2680,7543,35.53,305394,7162405
NM_001033557.1,PPM1B,5495,2p21,2.6,76,680,3046,22.32,305394,7162405
NM_001042424.2,WHSC1,7468,4p16.3,0.7,76,2680,7576,35.37,305394,7162405
NM_133462.3,TTC14,151613,3q26.33,3.7,76,476,3037,15.67,305394,7162405
NM_133331.2,WHSC1,7468,4p16.3,0.7,76,2680,7706,34.78,305394,7162405
NM_002706.4,PPM1B,5495,2p21,2.6,76,680,2626,25.89,305394,7162405
NM_177969.2,PPM1B,5495,2p21,2.6,76,680,1766,38.51,305394,7162405
NM_133330.2,WHSC1,7468,4p16.3,0.7,76,2680,7886,33.98,305394,7162405
NM_003934.1,FUBP3,8939,9q34.11,8,76,222,3162,7.02,305394,7162405
NM_001131008.1,PTPN12,5782,7q11.23,1.9,75,910,3112,29.24,305394,7162405
NM_001131009.1,PTPN12,5782,7q11.23,1.9,75,910,3016,30.17,305394,7162405
NM_002336.2,LRP6,4040,12p13.2,0.5,75,3263,10088,32.35,305394,7162405
NM_001098479.1,HLA-F,3134,6p21.3,2.3,75,769,1578,48.73,305394,7162405
NM_002835.3,PTPN12,5782,7q11.23,1.9,75,910,3230,28.17,305394,7162405
NM_006612.5,KIF1C,10749,17p13.2,0.4,75,3946,7921,49.82,305394,7162405
NM_001031812.2,CSNK1G3,1456,5q23,2.1,74,825,4366,18.9,305394,7162405
NM_000990.4,RPL27A,6157,11p15,0.9,74,1937,4883,39.67,305394,7162405
NM_001142276.1,APLP2,334,11q24,0.5,74,3299,3780,87.28,305394,7162405
NM_004384.3,CSNK1G3,1456,5q23,2.1,74,825,4438,18.59,305394,7162405
NM_005242.4,F2RL1,2150,5q13,4.9,74,354,2883,12.28,305394,7162405
NM_001142278.1,APLP2,334,11q24,0.7,74,2612,3093,84.45,305394,7162405
NM_012198.3,GCA,25801,2q24.2,2.2,74,772,3228,23.92,305394,7162405
NM_001044723.1,CSNK1G3,1456,5q23,2.1,74,825,4462,18.49,305394,7162405
NM_152277.2,UBTD2,92181,5q35.1,4.5,74,384,3015,12.74,305394,7162405
NM_017943.3,FBXO34,55030,14q22.3,6.5,74,265,3468,7.64,305394,7162405
NM_001642.2,APLP2,334,11q24,0.5,74,3335,3816,87.4,305394,7162405
NM_001044722.1,CSNK1G3,1456,5q23,2.1,74,825,4342,19,305394,7162405
NM_001142277.1,APLP2,334,11q24,0.6,74,3131,3612,86.68,305394,7162405
NM_002612.3,PDK4,5166,7q21.3,3.7,73,458,3704,12.37,305394,7162405
NM_001946.2,DUSP6,1848,12q22-q23,2.1,73,831,2823,29.44,305394,7162405
NM_005517.3,HMGN2,3151,1p36.1,2.6,73,664,1972,33.67,305394,7162405
NM_004735.3,LRRFIP1,9208,2q37.3,0.5,73,3510,4425,79.32,305394,7162405
NM_014827.4,ZC3H11A,9877,1q32.1,2.1,73,823,4782,17.21,305394,7162405
NM_001174072.1,SERINC5,256987,5q14.1,0.5,73,3553,6479,54.84,305394,7162405
NM_014041.3,SPCS1,28972,3p21.1,3.2,73,541,1087,49.77,305394,7162405
NM_005614.3,RHEB,6009,7q36,3.5,73,486,2079,23.38,305394,7162405
NM_001137552.1,LRRFIP1,9208,2q37.3,0.5,73,3510,4497,78.05,305394,7162405
NM_144982.4,ZFC3H1,196441,12q21.1,0.6,73,2718,7158,37.97,305394,7162405
NM_001137553.1,LRRFIP1,9208,2q37.3,0.5,73,3510,4329,81.08,305394,7162405
NM_001135242.1,NDRG1,10397,8q24.3,2.2,73,776,3483,22.28,305394,7162405
NM_020651.3,PELI1,57162,2p13.3,4.4,73,391,3770,10.37,305394,7162405
NM_022652.2,DUSP6,1848,12q22-q23,2.1,73,831,2385,34.84,305394,7162405
NM_006096.3,NDRG1,10397,8q24.3,2.2,73,776,3086,25.15,305394,7162405
NM_006717.2,SPIN1,10927,9q22.1,0.6,73,3005,4535,66.26,305394,7162405
NM_015680.4,C2orf24,27013,2q35,4.5,72,376,2078,18.09,305394,7162405
NM_005112.4,WDR1,9948,4p16.1,1.6,72,1061,2727,38.91,305394,7162405
NM_017491.3,WDR1,9948,4p16.1,1.6,72,1061,3147,33.71,305394,7162405
NM_002258.2,KLRB1,3820,12p13,2.5,71,660,740,89.19,305394,7162405
NM_030579.2,CYB5B,80777,16q22.1,1.7,71,974,4286,22.73,305394,7162405
NM_001005361.2,DNM2,1785,19p13.2,12.8,70,128,3671,3.49,305394,7162405
NM_006425.4,SLU7,10569,5q33.3,0.6,70,2841,3564,79.71,305394,7162405
NM_006496.2,GNAI3,2773,1p13,0.5,70,3136,4730,66.3,305394,7162405
NM_001005360.2,DNM2,1785,19p13.2,12.8,70,128,3671,3.49,305394,7162405
NM_004945.3,DNM2,1785,19p13.2,12.8,70,128,3659,3.5,305394,7162405
NM_001152.4,SLC25A5,292,Xq24-q26,1.4,70,1193,1351,88.3,305394,7162405
NM_001005362.2,DNM2,1785,19p13.2,12.8,70,128,3659,3.5,305394,7162405
NM_152766.2,C17orf61,254863,17p13.1,7.5,70,220,450,48.89,305394,7162405
NM_001190716.1,DNM2,1785,19p13.2,12.8,70,128,3668,3.49,305394,7162405
NM_022121.4,PERP,64065,6q24,1.8,70,919,4306,21.34,305394,7162405
NM_005908.3,MANBA,4126,4q22-q25,2.3,70,717,3311,21.66,305394,7162405
NM_006965.2,ZNF24,7572,18q12,0.3,70,6010,6311,95.23,305394,7162405
NM_001166496.1,SLC16A1,6566,1p12,0.9,69,1750,4381,39.95,305394,7162405
NM_001662.2,ARF5,381,7q31.3,15.6,69,104,978,10.63,305394,7162405
NM_001033056.2,GLUL,2752,1q31,0.9,69,1714,4070,42.11,305394,7162405
NM_031243.2,HNRNPA2B1,3181,7p15,0.8,69,2060,3702,55.65,305394,7162405
NM_001655.4,ARCN1,372,11q23.3,0.9,69,1898,4018,47.24,305394,7162405
NM_020928.1,ZSWIM6,57688,5q12.1,3.9,69,416,5507,7.55,305394,7162405
NM_002065.5,GLUL,2752,1q31,0.9,69,1714,4724,36.28,305394,7162405
NM_213589.1,RAPH1,65059,2q33,0.2,69,8663,9602,90.22,305394,7162405
NM_030666.2,SERPINB1,1992,6p25,1.3,69,1260,1295,97.3,305394,7162405
NM_001190438.1,NCOR1,9611,17p11.2,1.9,69,843,3106,27.14,305394,7162405
NM_006801.2,KDELR1,10945,19q13.3,5.4,69,301,1562,19.27,305394,7162405
NM_001011720.1,XKR9,389668,8q13.3,0.7,69,2381,3178,74.92,305394,7162405
NM_003051.3,SLC16A1,6566,1p12,0.9,69,1750,3912,44.73,305394,7162405
NM_001033044.2,GLUL,2752,1q31,0.9,69,1714,4368,39.24,305394,7162405
NM_001142281.1,ARCN1,372,11q23.3,0.9,69,1898,3754,50.56,305394,7162405
NM_002137.3,HNRNPA2B1,3181,7p15,0.8,69,2060,3666,56.19,305394,7162405
NM_001020.4,RPS16,6217,19q13.1,3,69,535,593,90.22,305394,7162405
NM_203380.1,ACSL5,51703,10q25.1-q25.2,1.4,68,1144,3385,33.8,305394,7162405
NM_001146113.1,MIER1,57708,1p31.3,1,68,1571,3600,43.64,305394,7162405
NM_021982.1,SEC24A,10802,5q31.1,2.5,68,642,6387,10.05,305394,7162405
NM_203379.1,ACSL5,51703,10q25.1-q25.2,1.4,68,1144,3219,35.54,305394,7162405
NM_016234.3,ACSL5,51703,10q25.1-q25.2,1.4,68,1144,3358,34.07,305394,7162405
NM_001987.4,ETV6,2120,12p13,0.3,68,5659,5981,94.62,305394,7162405
NM_003403.3,YY1,7528,14q,1.4,68,1168,2592,45.06,305394,7162405
NM_001142651.1,NEURL1B,54492,5q35.1,5.5,68,288,6410,4.49,305394,7162405
NM_001126337.1,TUFT1,7286,1q21,1.7,68,939,3040,30.89,305394,7162405
NM_001076674.1,TMUB2,79089,17q21.31,4.5,68,352,1994,17.65,305394,7162405
NM_014268.2,MAPRE2,10982,18q12.1,9.9,68,161,3209,5.02,305394,7162405
NM_007028.3,TRIM31,11074,6p21.3,4,68,396,2030,19.51,305394,7162405
NM_001143827.1,MAPRE2,10982,18q12.1,9.9,68,161,3267,4.93,305394,7162405
NM_001039.3,SCNN1G,6340,16p12,7.8,68,205,3504,5.85,305394,7162405
